Sample ID  | True Label   | Predicted Label | Status
------------------------------------------------------------
Sample 0   | ADL          | ADL             | Correct
Sample 1   | ADL          | ADL             | Correct
Sample 2   | ADL          | ADL             | Correct
Sample 3   | ADL          | ADL             | Correct
Sample 4   | ADL          | ADL             | Correct
Sample 5   | ADL          | ADL             | Correct
Sample 6   | ADL          | ADL             | Correct
Sample 7   | ADL          | ADL             | Correct
Sample 8   | ADL          | ADL             | Correct
Sample 9   | ADL          | ADL             | Correct
Sample 10  | ADL          | ADL             | Correct
Sample 11  | ADL          | ADL             | Correct
Sample 12  | ADL          | ADL             | Correct
Sample 13  | ADL          | ADL             | Correct
Sample 14  | ADL          | ADL             | Correct
Sample 15  | ADL          | ADL             | Correct
Sample 16  | ADL          | ADL             | Correct
Sample 17  | ADL          | ADL             | Correct
Sample 18  | ADL          | ADL             | Correct
Sample 19  | ADL          | ADL             | Correct
Sample 20  | ADL          | ADL             | Correct
Sample 21  | ADL          | ADL             | Correct
Sample 22  | ADL          | ADL             | Correct
Sample 23  | Fall         | ADL             | INCORRECT
Sample 24  | Fall         | ADL             | INCORRECT
Sample 25  | Fall         | ADL             | INCORRECT
Sample 26  | Fall         | Fall            | Correct
Sample 27  | Fall         | Fall            | Correct
Sample 28  | Fall         | Fall            | Correct
Sample 29  | Fall         | Fall            | Correct
Sample 30  | Fall         | Fall            | Correct
Sample 31  | Fall         | Fall            | Correct
Sample 32  | Fall         | ADL             | INCORRECT
Sample 33  | Fall         | ADL             | INCORRECT
Sample 34  | Fall         | ADL             | INCORRECT
Sample 35  | Fall         | ADL             | INCORRECT
Sample 36  | Fall         | ADL             | INCORRECT
Sample 37  | Fall         | ADL             | INCORRECT
Sample 38  | Fall         | ADL             | INCORRECT
Sample 39  | Fall         | ADL             | INCORRECT
Sample 40  | Fall         | ADL             | INCORRECT
Sample 41  | Fall         | ADL             | INCORRECT
Sample 42  | Fall         | ADL             | INCORRECT
Sample 43  | Fall         | ADL             | INCORRECT
Sample 44  | Fall         | ADL             | INCORRECT
Sample 45  | Fall         | ADL             | INCORRECT
Sample 46  | Fall         | ADL             | INCORRECT
Sample 47  | Fall         | ADL             | INCORRECT
